country	study_id	age_low	age_high	region	gender	n_deaths	date_start_survey	date_end_survey	age_breakdown	for_regional_analysis	ref
Spain	ESP1-2	0	999	Asturias, Principado de	both	333	2020-01-01	2020-06-22	0	1	https://github.com/ec-jrc/COVID-19/blob/master/data-by-region/jrc-covid-19-regions-20200622.csv
Spain	ESP1-2	0	999	Balears, Illes	both	224	2020-01-01	2020-06-22	0	1	https://github.com/ec-jrc/COVID-19/blob/master/data-by-region/jrc-covid-19-regions-20200622.csv
Spain	ESP1-2	0	999	Canarias	both	162	2020-01-01	2020-06-22	0	1	https://github.com/ec-jrc/COVID-19/blob/master/data-by-region/jrc-covid-19-regions-20200622.csv
Spain	ESP1-2	0	999	Cantabria	both	216	2020-01-01	2020-06-22	0	1	https://github.com/ec-jrc/COVID-19/blob/master/data-by-region/jrc-covid-19-regions-20200622.csv
Spain	ESP1-2	0	999	Castilla La Mancha	both	3022	2020-01-01	2020-06-22	0	1	https://github.com/ec-jrc/COVID-19/blob/master/data-by-region/jrc-covid-19-regions-20200622.csv
Spain	ESP1-2	0	999	Castilla y León	both	2778	2020-01-01	2020-06-22	0	1	https://github.com/ec-jrc/COVID-19/blob/master/data-by-region/jrc-covid-19-regions-20200622.csv
Spain	ESP1-2	0	999	Cataluña	both	5666	2020-01-01	2020-06-22	0	1	https://github.com/ec-jrc/COVID-19/blob/master/data-by-region/jrc-covid-19-regions-20200622.csv
Spain	ESP1-2	0	999	Ceuta	both	4	2020-01-01	2020-06-22	0	1	https://github.com/ec-jrc/COVID-19/blob/master/data-by-region/jrc-covid-19-regions-20200622.csv
Spain	ESP1-2	0	999	Comunitat Valenciana	both	1431	2020-01-01	2020-06-22	0	1	https://github.com/ec-jrc/COVID-19/blob/master/data-by-region/jrc-covid-19-regions-20200622.csv
Spain	ESP1-2	0	999	Extremadura	both	519	2020-01-01	2020-06-22	0	1	https://github.com/ec-jrc/COVID-19/blob/master/data-by-region/jrc-covid-19-regions-20200622.csv
Spain	ESP1-2	0	999	Galicia	both	619	2020-01-01	2020-06-22	0	1	https://github.com/ec-jrc/COVID-19/blob/master/data-by-region/jrc-covid-19-regions-20200622.csv
Spain	ESP1-2	0	999	Madrid, Comunidad de	both	8416	2020-01-01	2020-06-22	0	1	https://github.com/ec-jrc/COVID-19/blob/master/data-by-region/jrc-covid-19-regions-20200622.csv
Spain	ESP1-2	0	999	Melilla	both	2	2020-01-01	2020-06-22	0	1	https://github.com/ec-jrc/COVID-19/blob/master/data-by-region/jrc-covid-19-regions-20200622.csv
Spain	ESP1-2	0	999	Murcia, Región de	both	147	2020-01-01	2020-06-22	0	1	https://github.com/ec-jrc/COVID-19/blob/master/data-by-region/jrc-covid-19-regions-20200622.csv
Spain	ESP1-2	0	999	Navarra, Comunidad Foral de	both	528	2020-01-01	2020-06-22	0	1	https://github.com/ec-jrc/COVID-19/blob/master/data-by-region/jrc-covid-19-regions-20200622.csv
Spain	ESP1-2	0	999	País Vasco	both	1555	2020-01-01	2020-06-22	0	1	https://github.com/ec-jrc/COVID-19/blob/master/data-by-region/jrc-covid-19-regions-20200622.csv
Spain	ESP1-2	0	999	Rioja, La	both	365	2020-01-01	2020-06-22	0	1	https://github.com/ec-jrc/COVID-19/blob/master/data-by-region/jrc-covid-19-regions-20200622.csv
Spain	ESP1-2	0	9	all	both	2	2020-01-01	2020-05-21	1	0	https://dc-covid.site.ined.fr/en/data/spain/
Spain	ESP1-2	10	19	all	both	5	2020-01-01	2020-05-21	1	0	https://dc-covid.site.ined.fr/en/data/spain/
Spain	ESP1-2	20	29	all	both	24	2020-01-01	2020-05-21	1	0	https://dc-covid.site.ined.fr/en/data/spain/
Spain	ESP1-2	30	39	all	both	63	2020-01-01	2020-05-21	1	0	https://dc-covid.site.ined.fr/en/data/spain/
Spain	ESP1-2	40	49	all	both	217	2020-01-01	2020-05-21	1	0	https://dc-covid.site.ined.fr/en/data/spain/
Spain	ESP1-2	50	59	all	both	657	2020-01-01	2020-05-21	1	0	https://dc-covid.site.ined.fr/en/data/spain/
Spain	ESP1-2	60	69	all	both	1822	2020-01-01	2020-05-21	1	0	https://dc-covid.site.ined.fr/en/data/spain/
Spain	ESP1-2	70	79	all	both	4887	2020-01-01	2020-05-21	1	0	https://dc-covid.site.ined.fr/en/data/spain/
Spain	ESP1-2	80	89	all	both	8458	2020-01-01	2020-05-21	1	0	https://dc-covid.site.ined.fr/en/data/spain/
Spain	ESP1-2	90	999	all	both	4417	2020-01-01	2020-05-21	1	0	https://dc-covid.site.ined.fr/en/data/spain/
Spain	ESP1-2	0	999	all	female	8056	2020-01-01	2020-05-11	0	0	https://dc-covid.site.ined.fr/en/data/spain/
Spain	ESP1-2	0	999	all	male	10762	2020-01-01	2020-05-11	0	0	https://dc-covid.site.ined.fr/en/data/spain/
Netherlands	NLD1	0	49	all	both	22	2020-01-01	2020-04-19	1	0	https://data.rivm.nl/geonetwork/srv/dut/catalog.search#/metadata/2c4357c8-76e4-4662-9574-1deb8a73f724?tab=relations
Netherlands	NLD1	50	59	all	both	87	2020-01-01	2020-04-19	1	0	https://data.rivm.nl/geonetwork/srv/dut/catalog.search#/metadata/2c4357c8-76e4-4662-9574-1deb8a73f724?tab=relations
Netherlands	NLD1	60	69	all	both	299	2020-01-01	2020-04-19	1	0	https://data.rivm.nl/geonetwork/srv/dut/catalog.search#/metadata/2c4357c8-76e4-4662-9574-1deb8a73f724?tab=relations
Netherlands	NLD1	70	79	all	both	982	2020-01-01	2020-04-19	1	0	https://data.rivm.nl/geonetwork/srv/dut/catalog.search#/metadata/2c4357c8-76e4-4662-9574-1deb8a73f724?tab=relations
Netherlands	NLD1	80	89	all	both	1448	2020-01-01	2020-04-19	1	0	https://data.rivm.nl/geonetwork/srv/dut/catalog.search#/metadata/2c4357c8-76e4-4662-9574-1deb8a73f724?tab=relations
Netherlands	NLD1	90	999	all	both	477	2020-01-01	2020-04-19	1	0	https://data.rivm.nl/geonetwork/srv/dut/catalog.search#/metadata/2c4357c8-76e4-4662-9574-1deb8a73f724?tab=relations
Sweden	SWE1	0	9	all	both	1	2020-01-01	2020-05-28	1	0	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	10	19	all	both	0	2020-01-01	2020-05-28	1	0	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	20	29	all	both	8	2020-01-01	2020-05-28	1	0	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	30	39	all	both	12	2020-01-01	2020-05-28	1	0	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	40	49	all	both	40	2020-01-01	2020-05-28	1	0	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	50	59	all	both	132	2020-01-01	2020-05-28	1	0	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	60	69	all	both	298	2020-01-01	2020-05-28	1	0	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	70	79	all	both	934	2020-01-01	2020-05-28	1	0	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	80	89	all	both	1756	2020-01-01	2020-05-28	1	0	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	90	999	all	both	1085	2020-01-01	2020-05-28	1	0	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	0	999	Blekinge	both	4	2020-01-01	2020-05-28	0	1	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	0	999	Dalarna	both	143	2020-01-01	2020-05-28	0	1	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	0	999	Gotland	both	6	2020-01-01	2020-05-28	0	1	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	0	999	Gavleborg	both	99	2020-01-01	2020-05-28	0	1	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	0	999	Halland	both	53	2020-01-01	2020-05-28	0	1	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	0	999	Jamtland H‰rjedalen	both	26	2020-01-01	2020-05-28	0	1	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	0	999	Jonkoping	both	131	2020-01-01	2020-05-28	0	1	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	0	999	Kalmar	both	35	2020-01-01	2020-05-28	0	1	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	0	999	Kronoberg	both	62	2020-01-01	2020-05-28	0	1	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	0	999	Norrbotten	both	42	2020-01-01	2020-05-28	0	1	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	0	999	Skane	both	170	2020-01-01	2020-05-28	0	1	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	0	999	Stockholm	both	2016	2020-01-01	2020-05-28	0	1	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	0	999	Sormland	both	221	2020-01-01	2020-05-28	0	1	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	0	999	Uppsala	both	167	2020-01-01	2020-05-28	0	1	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	0	999	Varmland	both	29	2020-01-01	2020-05-28	0	1	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	0	999	Vasterbotten	both	26	2020-01-01	2020-05-28	0	1	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	0	999	Vasternorrland	both	81	2020-01-01	2020-05-28	0	1	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	0	999	Vastmanland	both	135	2020-01-01	2020-05-28	0	1	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	0	999	Vastra Gotaland	both	511	2020-01-01	2020-05-28	0	1	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	0	999	Orebro	both	130	2020-01-01	2020-05-28	0	1	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	0	999	Ostergotland	both	179	2020-01-01	2020-05-28	0	1	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	0	999	all	male	2348	2020-01-01	2020-05-28	0	0	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Sweden	SWE1	0	999	all	female	1918	2020-01-01	2020-05-28	0	0	https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/bekraftade-fall-i-sverige/
Switzerland	CHE2	0	9	Zurich	both	0	2020-01-01	2020-05-15	1	0	https://covid-19-schweiz.bagapps.ch/fr-1.html
Switzerland	CHE2	10	19	Zurich	both	0	2020-01-01	2020-05-15	1	0	https://covid-19-schweiz.bagapps.ch/fr-1.html
Switzerland	CHE2	20	29	Zurich	both	0	2020-01-01	2020-05-15	1	0	https://covid-19-schweiz.bagapps.ch/fr-1.html
Switzerland	CHE2	30	39	Zurich	both	0	2020-01-01	2020-05-15	1	0	https://covid-19-schweiz.bagapps.ch/fr-1.html
Switzerland	CHE2	40	49	Zurich	both	0	2020-01-01	2020-05-15	1	0	https://covid-19-schweiz.bagapps.ch/fr-1.html
Switzerland	CHE2	50	59	Zurich	both	4	2020-01-01	2020-05-15	1	0	https://covid-19-schweiz.bagapps.ch/fr-1.html
Switzerland	CHE2	60	69	Zurich	both	10	2020-01-01	2020-05-15	1	0	https://covid-19-schweiz.bagapps.ch/fr-1.html
Switzerland	CHE2	70	79	Zurich	both	17	2020-01-01	2020-05-15	1	0	https://covid-19-schweiz.bagapps.ch/fr-1.html
Switzerland	CHE2	80	999	Zurich	both	93	2020-01-01	2020-05-15	1	0	https://covid-19-schweiz.bagapps.ch/fr-1.html
Italy	ITA1	0	9	all	both	4	2020-01-01	2020-06-18	1	0	https://dc-covid.site.ined.fr/en/data/italy/
Italy	ITA1	10	19	all	both	0	2020-01-01	2020-06-18	1	0	https://dc-covid.site.ined.fr/en/data/italy/
Italy	ITA1	20	29	all	both	15	2020-01-01	2020-06-18	1	0	https://dc-covid.site.ined.fr/en/data/italy/
Italy	ITA1	30	39	all	both	65	2020-01-01	2020-06-18	1	0	https://dc-covid.site.ined.fr/en/data/italy/
Italy	ITA1	40	49	all	both	287	2020-01-01	2020-06-18	1	0	https://dc-covid.site.ined.fr/en/data/italy/
Italy	ITA1	50	59	all	both	1164	2020-01-01	2020-06-18	1	0	https://dc-covid.site.ined.fr/en/data/italy/
Italy	ITA1	60	69	all	both	3377	2020-01-01	2020-06-18	1	0	https://dc-covid.site.ined.fr/en/data/italy/
Italy	ITA1	70	79	all	both	8846	2020-01-01	2020-06-18	1	0	https://dc-covid.site.ined.fr/en/data/italy/
Italy	ITA1	80	89	all	both	13628	2020-01-01	2020-06-18	1	0	https://dc-covid.site.ined.fr/en/data/italy/
Italy	ITA1	90	999	all	both	5923	2020-01-01	2020-06-18	1	0	https://dc-covid.site.ined.fr/en/data/italy/
Italy	ITA1	0	999	Piemonte	both	3114	2020-01-01	2020-07-22	0	1	https://www.istat.it/it/files//2020/08/ReportPrimiRisultatiIndagineSiero.pdf
Italy	ITA1	0	999	Valle D'Aosta	both	146	2020-01-01	2020-07-22	0	1	https://www.istat.it/it/files//2020/08/ReportPrimiRisultatiIndagineSiero.pdf
Italy	ITA1	0	999	Liguria	both	1676	2020-01-01	2020-07-22	0	1	https://www.istat.it/it/files//2020/08/ReportPrimiRisultatiIndagineSiero.pdf
Italy	ITA1	0	999	Lombardia	both	16776	2020-01-01	2020-07-22	0	1	https://www.istat.it/it/files//2020/08/ReportPrimiRisultatiIndagineSiero.pdf
Italy	ITA1	0	999	Bolzano	both	292	2020-01-01	2020-07-22	0	1	https://www.istat.it/it/files//2020/08/ReportPrimiRisultatiIndagineSiero.pdf
Italy	ITA1	0	999	Trento	both	405	2020-01-01	2020-07-22	0	1	https://www.istat.it/it/files//2020/08/ReportPrimiRisultatiIndagineSiero.pdf
Italy	ITA1	0	999	Veneto	both	1990	2020-01-01	2020-07-22	0	1	https://www.istat.it/it/files//2020/08/ReportPrimiRisultatiIndagineSiero.pdf
Italy	ITA1	0	999	Friuli-Venenzia Giulia	both	349	2020-01-01	2020-07-22	0	1	https://www.istat.it/it/files//2020/08/ReportPrimiRisultatiIndagineSiero.pdf
Italy	ITA1	0	999	Emilia-Romagna	both	4266	2020-01-01	2020-07-22	0	1	https://www.istat.it/it/files//2020/08/ReportPrimiRisultatiIndagineSiero.pdf
Italy	ITA1	0	999	Toscana	both	1132	2020-01-01	2020-07-22	0	1	https://www.istat.it/it/files//2020/08/ReportPrimiRisultatiIndagineSiero.pdf
Italy	ITA1	0	999	Umbria	both	80	2020-01-01	2020-07-22	0	1	https://www.istat.it/it/files//2020/08/ReportPrimiRisultatiIndagineSiero.pdf
Italy	ITA1	0	999	Marche	both	984	2020-01-01	2020-07-22	0	1	https://www.istat.it/it/files//2020/08/ReportPrimiRisultatiIndagineSiero.pdf
Italy	ITA1	0	999	Lazio	both	868	2020-01-01	2020-07-22	0	1	https://www.istat.it/it/files//2020/08/ReportPrimiRisultatiIndagineSiero.pdf
Italy	ITA1	0	999	Abruzzo	both	470	2020-01-01	2020-07-22	0	1	https://www.istat.it/it/files//2020/08/ReportPrimiRisultatiIndagineSiero.pdf
Italy	ITA1	0	999	Molise	both	22	2020-01-01	2020-07-22	0	1	https://www.istat.it/it/files//2020/08/ReportPrimiRisultatiIndagineSiero.pdf
Italy	ITA1	0	999	Campania	both	459	2020-01-01	2020-07-22	0	1	https://www.istat.it/it/files//2020/08/ReportPrimiRisultatiIndagineSiero.pdf
Italy	ITA1	0	999	Puglia	both	548	2020-01-01	2020-07-22	0	1	https://www.istat.it/it/files//2020/08/ReportPrimiRisultatiIndagineSiero.pdf
Italy	ITA1	0	999	Basilicata	both	30	2020-01-01	2020-07-22	0	1	https://www.istat.it/it/files//2020/08/ReportPrimiRisultatiIndagineSiero.pdf
Italy	ITA1	0	999	Clabria	both	97	2020-01-01	2020-07-22	0	1	https://www.istat.it/it/files//2020/08/ReportPrimiRisultatiIndagineSiero.pdf
Italy	ITA1	0	999	Sicilia	both	304	2020-01-01	2020-07-22	0	1	https://www.istat.it/it/files//2020/08/ReportPrimiRisultatiIndagineSiero.pdf
Italy	ITA1	0	999	Sardegna	both	134	2020-01-01	2020-07-22	0	1	https://www.istat.it/it/files//2020/08/ReportPrimiRisultatiIndagineSiero.pdf
China	CHN1	0	9	Wuhan	both	0	2020-01-01	2020-04-17	1	0	WHO. Report of the WHO-China Joint Mission on coronavirus
China	CHN1	10	19	Wuhan	both	4	2020-01-01	2020-04-17	1	0	WHO. Report of the WHO-China Joint Mission on coronavirus
China	CHN1	20	29	Wuhan	both	26	2020-01-01	2020-04-17	1	0	WHO. Report of the WHO-China Joint Mission on coronavirus
China	CHN1	30	39	Wuhan	both	68	2020-01-01	2020-04-17	1	0	WHO. Report of the WHO-China Joint Mission on coronavirus
China	CHN1	40	49	Wuhan	both	144	2020-01-01	2020-04-17	1	0	WHO. Report of the WHO-China Joint Mission on coronavirus
China	CHN1	50	59	Wuhan	both	492	2020-01-01	2020-04-17	1	0	WHO. Report of the WHO-China Joint Mission on coronavirus
China	CHN1	60	69	Wuhan	both	1169	2020-01-01	2020-04-17	1	0	WHO. Report of the WHO-China Joint Mission on coronavirus
China	CHN1	70	79	Wuhan	both	1180	2020-01-01	2020-04-17	1	0	WHO. Report of the WHO-China Joint Mission on coronavirus
China	CHN1	80	999	Wuhan	both	787	2020-01-01	2020-04-17	1	0	WHO. Report of the WHO-China Joint Mission on coronavirus
England	GBR3	0	44	all	both	530	2020-01-01	2020-07-17	1	0	https://fingertips.phe.org.uk/static-reports/mortality-surveillance/excess-mortality-in-england-week-ending-17-Jul-2020.html
England	GBR3	45	64	all	both	4657	2020-01-01	2020-07-17	1	0	https://fingertips.phe.org.uk/static-reports/mortality-surveillance/excess-mortality-in-england-week-ending-17-Jul-2020.html
England	GBR3	65	74	all	both	7105	2020-01-01	2020-07-17	1	0	https://fingertips.phe.org.uk/static-reports/mortality-surveillance/excess-mortality-in-england-week-ending-17-Jul-2020.html
England	GBR3	75	999	all	both	36341	2020-01-01	2020-07-17	1	0	https://fingertips.phe.org.uk/static-reports/mortality-surveillance/excess-mortality-in-england-week-ending-17-Jul-2020.html
England	GBR3	0	999	North East	both	2825	2020-01-01	2020-07-31	0	1	https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/datasets/weeklyprovisionalfiguresondeathsregisteredinenglandandwales
England	GBR3	0	999	North West	both	7859	2020-01-01	2020-07-31	0	1	https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/datasets/weeklyprovisionalfiguresondeathsregisteredinenglandandwales
England	GBR3	0	999	Yorkshire	both	4834	2020-01-01	2020-07-31	0	1	https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/datasets/weeklyprovisionalfiguresondeathsregisteredinenglandandwales
England	GBR3	0	999	East Midlands	both	3952	2020-01-01	2020-07-31	0	1	https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/datasets/weeklyprovisionalfiguresondeathsregisteredinenglandandwales
England	GBR3	0	999	West Midlands	both	5879	2020-01-01	2020-07-31	0	1	https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/datasets/weeklyprovisionalfiguresondeathsregisteredinenglandandwales
England	GBR3	0	999	East of England	both	5090	2020-01-01	2020-07-31	0	1	https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/datasets/weeklyprovisionalfiguresondeathsregisteredinenglandandwales
England	GBR3	0	999	London	both	8528	2020-01-01	2020-07-31	0	1	https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/datasets/weeklyprovisionalfiguresondeathsregisteredinenglandandwales
England	GBR3	0	999	South East	both	7311	2020-01-01	2020-07-31	0	1	https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/datasets/weeklyprovisionalfiguresondeathsregisteredinenglandandwales
England	GBR3	0	999	South West	both	2905	2020-01-01	2020-07-31	0	1	https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/datasets/weeklyprovisionalfiguresondeathsregisteredinenglandandwales
USA	NYS1	0	9	all	both	5	2020-02-29	2020-09-12	1	0	https://covid19tracker.health.ny.gov/views/NYS-COVID19-Tracker/NYSDOHCOVID-19Tracker-Fatalities?%3Aembed=yes&%3Atoolbar=no&%3Atabs=n#/views/NYS%2dCOVID19%2dTracker/NYSDOHCOVID%2d19Tracker%2dFatalities
USA	NYS1	10	19	all	both	11	2020-02-29	2020-09-12	1	0	https://covid19tracker.health.ny.gov/views/NYS-COVID19-Tracker/NYSDOHCOVID-19Tracker-Fatalities?%3Aembed=yes&%3Atoolbar=no&%3Atabs=n#/views/NYS%2dCOVID19%2dTracker/NYSDOHCOVID%2d19Tracker%2dFatalities
USA	NYS1	20	29	all	both	96	2020-02-29	2020-09-12	1	0	https://covid19tracker.health.ny.gov/views/NYS-COVID19-Tracker/NYSDOHCOVID-19Tracker-Fatalities?%3Aembed=yes&%3Atoolbar=no&%3Atabs=n#/views/NYS%2dCOVID19%2dTracker/NYSDOHCOVID%2d19Tracker%2dFatalities
USA	NYS1	30	39	all	both	335	2020-02-29	2020-09-12	1	0	https://covid19tracker.health.ny.gov/views/NYS-COVID19-Tracker/NYSDOHCOVID-19Tracker-Fatalities?%3Aembed=yes&%3Atoolbar=no&%3Atabs=n#/views/NYS%2dCOVID19%2dTracker/NYSDOHCOVID%2d19Tracker%2dFatalities
USA	NYS1	40	49	all	both	870	2020-02-29	2020-09-12	1	0	https://covid19tracker.health.ny.gov/views/NYS-COVID19-Tracker/NYSDOHCOVID-19Tracker-Fatalities?%3Aembed=yes&%3Atoolbar=no&%3Atabs=n#/views/NYS%2dCOVID19%2dTracker/NYSDOHCOVID%2d19Tracker%2dFatalities
